French,Reference English,Trained Model Output,Pre-trained Model Output
vivez une vie dissolue.,live a riotous life.,live a riotous life.,Live a dissolute life.
je suis occupée pour l'instant.,i'm busy right now.,i'm busy right now.,I'm busy right now.
est-ce que tu crois que tom est coupable ?,do you think tom is guilty?,do you think tom is guilty?,Do you think Tom is guilty?
pourquoi tout le monde aime les chats ?,why does everybody love cats?,why does everybody love cats?,Why does everyone like cats?
que te faut-il faire ?,what do you have to do?,what do you have to do?,What do you have to do?
combien coûte la chemise ?,how much does the shirt cost?,how much does the shirt cost?,How much does the shirt cost?
j'atteste qu'il est le fils de dieu.,and i testify that this is the son of god.,the that he is the work of god.,I attest that he is the son of God.
elle et moi nous entendons bien.,she and i get on well.,she and i get on well.,She and I get along well.
j'en ai assez !,i'm done with it.,i have enough of it.,I've had enough!
terminez-le avant qu'il ne s'échappe !,finish him off before he gets away.,finish him off before he gets away.,Finish him before he escapes!
il a marché devant moi.,he walked ahead of me.,he stepped by front of me.,He walked in front of me.
qu'est-ce qui m'a trahi ?,what gave me away?,what gave me away?,What betrayed me?
tom et mary aiment le même type de nourriture.,tom and mary like the same kind of food.,tom and mary like the same kind to food.,Tom and Mary like the same kind of food.
je lui dois 100 yens.,i owe him 100 yen.,i owe him 100 yen.,I owe him 100 yen.
j'oublie toujours le nom des gens.,i am constantly forgetting names.,i am constantly forgetting names.,I always forget people's names.
j'ai eu des choses à penser.,i had things to think about.,i had things to think about.,I've had things to think about.
elle sait parler le russe.,she can speak russian.,she can speak russian.,She knows how to speak Russian.
tu as une décision à prendre.,you have a decision to make.,you have a decision to make.,You have a decision to make.
je veux aller à l'étranger l'année prochaine.,i want to go abroad next year.,i want to go abroad next year.,I want to go abroad next year.
c'est terriblement cher.,it's terribly expensive.,it's terribly expensive.,It's terribly expensive.
